decision	confidence	reason	lang	dept	slug	target	was_login	url
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-12060-31	/en/shop/tezgah/7911-12060-31	False	https://equsto.com/en/shop/tezgah/pimak-12060-31
RECOVER_308	high	login_next_to_product	en	tezgah	7910-14040-01	/en/shop/tezgah/7910-14040-01	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7910-14040-01
RECOVER_308	high	login_next_to_product	en	market-reyonlari	eq-falcon-eq76	/en/shop/market-reyonlari/eq-falcon-eq76	True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-falcon-eq76
RECOVER_308	high	login_next_to_product	en	tezgah	7911-14060-56	/en/shop/tezgah/7911-14060-56	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7911-14060-56
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	2864-q3028-99	/en/shop/set-ustu-mutfak/2864-q3028-99	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/2864-q3028-99
RECOVER_308	high	login_next_to_product	en	dolap	7754-147cb-11	/en/shop/tezgah/7754-147cb-11	True	https://equsto.com/en/login.html?next=/en/shop/dolap/7754-147cb-11
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	8325-0kfh5-03	/en/shop/set-ustu-mutfak/8325-0kfh5-03	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/8325-0kfh5-03
RECOVER_308	high	login_next_to_product	en	tezgah	ino-krc180	/en/shop/tezgah/ino-krc180	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/ino-krc180
RECOVER_308	high	login_next_to_product	en	yikama	7960-20629-7o3	/en/shop/yikama/7960-20629-7o3	True	https://equsto.com/en/login.html?next=/en/shop/yikama/7960-20629-7o3
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-25125-01	/en/shop/davlumbaz/7885-25125-01	False	https://equsto.com/en/shop/davlumbaz/pimak-25125-01
RECOVER_308	high	login_next_to_product	en	sogutma	7919-df6030-00	/en/shop/sogutma/7919-df6030-00	True	https://equsto.com/en/login.html?next=/en/shop/sogutma/7919-df6030-00
RECOVER_308	high	login_next_to_product	en	market-reyonlari	eq-falcon-sld-eq115	/en/shop/market-reyonlari/eq-falcon-sld-eq115	True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-falcon-sld-eq115
RECOVER_308	high	login_next_to_product	en	tezgah	7754-247d5-23	/en/shop/tezgah/7754-247d5-23	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7754-247d5-23
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	0311-21020-10	/en/shop/set-ustu-mutfak/0311-21020-10	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/0311-21020-10
RECOVER_308	high	login_next_to_product	en	pisirme	xela-05eu-exrs	/en/shop/pisirme/xela-05eu-exrs	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/xela-05eu-exrs
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	pimak-25155-01	/shop/davlumbaz/7885-25155-01	False	https://equsto.com/shop/davlumbaz/pimak-25155-01
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-12060-52	/shop/tezgah/7911-12060-52	False	https://equsto.com/shop/tezgah/pimak-12060-52
RECOVER_308	high	login_next_to_product	en	pisirme	xb893	/en/shop/pisirme/xb893	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/xb893
RECOVER_308	high	login_next_to_product	en	yikama	7961-04929-5o2	/en/shop/yikama/7961-04929-5o2	True	https://equsto.com/en/login.html?next=/en/shop/yikama/7961-04929-5o2
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-16060-13	/shop/tezgah/7911-16060-13	False	https://equsto.com/shop/tezgah/pimak-16060-13
RECOVER_308	high	login_next_to_product	en	kahve	9868-11986-6001	/en/shop/kahve/9868-11986-6001	True	https://equsto.com/en/login.html?next=/en/shop/kahve/9868-11986-6001
RECOVER_308	high	login_next_to_product	en	pisirme	ino-zco-9ig20	/en/shop/pisirme/ino-zco-9ig20	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/ino-zco-9ig20
RECOVER_308	high	login_next_to_product	en	pisirme	xb895	/en/shop/pisirme/xb895	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/xb895
RECOVER_308	high	login_next_to_product	en	hazirlik	8823-0ha40-00	/en/shop/hazirlik/8823-0ha40-00	True	https://equsto.com/en/login.html?next=/en/shop/hazirlik/8823-0ha40-00
RECOVER_308	high	login_next_to_product	en	tezgah	ino-krn210	/en/shop/tezgah/ino-krn210	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/ino-krn210
RECOVER_308	high	login_next_to_product	en	dolap	7754-186e8-35	/en/shop/tezgah/7754-186e8-35	True	https://equsto.com/en/login.html?next=/en/shop/dolap/7754-186e8-35
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	equsto-14060-52	/shop/tezgah/7911-14060-52	False	https://equsto.com/shop/tezgah/equsto-14060-52
RECOVER_308	high	login_next_to_product	en	tezgah	7911-19060-04a	/en/shop/tezgah/7911-19060-04a	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7911-19060-04a
RECOVER_308	high	login_next_to_product	en	tezgah	7876-19070-00	/en/shop/tezgah/7876-19070-00	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7876-19070-00
RECOVER_308	high	login_next_to_product	en	pisirme	7961-09429-5y3	/en/shop/yikama/7961-09429-5y3	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/7961-09429-5y3
RECOVER_308	high	login_next_to_product	en	market-reyonlari	eq-falcon-eq96	/en/shop/market-reyonlari/eq-falcon-eq96	True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-falcon-eq96
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-40205-10	/en/shop/davlumbaz/7885-40205-10	False	https://equsto.com/en/shop/davlumbaz/pimak-40205-10
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-15155-01	/en/shop/davlumbaz/7885-15155-01	False	https://equsto.com/en/shop/davlumbaz/pimak-15155-01
RECOVER_308	high	login_next_to_product	en	dolap	7754-157b5-21	/en/shop/tezgah/7754-157b5-21	True	https://equsto.com/en/login.html?next=/en/shop/dolap/7754-157b5-21
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	9830-f300e-00	/en/shop/set-ustu-mutfak/9830-f300e-00	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/9830-f300e-00
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-16060-56	/en/shop/tezgah/7911-16060-56	False	https://equsto.com/en/shop/tezgah/pimak-16060-56
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	8860-ops03-38	/en/shop/set-ustu-mutfak/8860-ops03-38	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/8860-ops03-38
RECOVER_308	high	login_next_to_product	en	market-reyonlari	eq-falcon-sld-eq28	/en/shop/market-reyonlari/eq-falcon-sld-eq28	True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-falcon-sld-eq28
RECOVER_308	high	login_next_to_product	en	tezgah	7911-19060-85	/en/shop/tezgah/7911-19060-85	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7911-19060-85
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	0314-21040-01	/en/shop/set-ustu-mutfak/0314-21040-01	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/0314-21040-01
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-14070-52	/en/shop/tezgah/7911-14070-52	False	https://equsto.com/en/shop/tezgah/pimak-14070-52
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-35155-01	/en/shop/davlumbaz/7885-35155-01	False	https://equsto.com/en/shop/davlumbaz/pimak-35155-01
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-06060-00	/shop/tezgah/7911-06060-00	False	https://equsto.com/shop/tezgah/pimak-06060-00
RECOVER_308	high	login_next_to_product	en	tezgah	ino-kss160	/en/shop/tezgah/ino-kss160	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/ino-kss160
RECOVER_308	high	login_next_to_product	en	pisirme	7960-11829-5o3	/en/shop/yikama/7960-11829-5o3	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/7960-11829-5o3
RECOVER_308	high	login_next_to_product	en	yikama	073m-11010-ad	/en/shop/yikama/073m-11010-ad	True	https://equsto.com/en/login.html?next=/en/shop/yikama/073m-11010-ad
RECOVER_308	high	login_next_to_product	en	tezgah	ino-krg242	/en/shop/tezgah/ino-krg242	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/ino-krg242
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-06070-91	/en/shop/tezgah/7911-06070-91	False	https://equsto.com/en/shop/tezgah/pimak-06070-91
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	pimak-60155-10	/shop/davlumbaz/7885-60155-10	False	https://equsto.com/shop/davlumbaz/pimak-60155-10
RECOVER_308	high	login_next_to_product	en	araba	g-gn-75-s-2	/en/shop/araba/g-gn-75-s-2	True	https://equsto.com/en/login.html?next=/en/shop/araba/g-gn-75-s-2
RECOVER_308	high	login_next_to_product	en	tezgah	7911-16070-79	/en/shop/tezgah/7911-16070-79	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7911-16070-79
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	pimak-60155-01	/shop/davlumbaz/7885-60155-01	False	https://equsto.com/shop/davlumbaz/pimak-60155-01
RECOVER_308	high	login_next_to_product	en	pisirme	ino-9ig30	/en/shop/pisirme/ino-9ig30	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/ino-9ig30
RECOVER_308	high	login_next_to_product	en	market-reyonlari	eq-kangaroo-eq4	/en/shop/market-reyonlari/eq-kangaroo-eq4	True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-kangaroo-eq4
RECOVER_308	high	login_next_to_product	en	pisirme	371282	/en/shop/pisirme/371282	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/371282
RECOVER_308	high	login_next_to_product	en	pisirme	ago-870y	/en/shop/pisirme/ago-870y	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/ago-870y
RECOVER_308	high	login_next_to_product	en	tezgah	7911-14060-96	/en/shop/tezgah/7911-14060-96	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7911-14060-96
RECOVER_308	high	login_next_to_product	en	tasima	7919-70130-00	/en/shop/tasima/7919-70130-00	True	https://equsto.com/en/login.html?next=/en/shop/tasima/7919-70130-00
RECOVER_308	high	login_next_to_product	en	sogutma	ttc-2n60	/en/shop/sogutma/ttc-2n60	True	https://equsto.com/en/login.html?next=/en/shop/sogutma/ttc-2n60
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	pimak-30155-10	/shop/davlumbaz/7885-30155-10	False	https://equsto.com/shop/davlumbaz/pimak-30155-10
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-35125-11	/en/shop/davlumbaz/7885-35125-11	False	https://equsto.com/en/shop/davlumbaz/pimak-35125-11
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	8325-0kfh5-15	/en/shop/set-ustu-mutfak/8325-0kfh5-15	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/8325-0kfh5-15
RECOVER_308	high	login_next_to_product	en	hazirlik	bks-100	/en/shop/hazirlik/bks-100	True	https://equsto.com/en/login.html?next=/en/shop/hazirlik/bks-100
RECOVER_308	high	login_next_to_product	en	tezgah	eq-kct07-14070	/en/shop/tezgah/eq-kct07-14070	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/eq-kct07-14070
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-20105-11	/en/shop/davlumbaz/7885-20105-11	False	https://equsto.com/en/shop/davlumbaz/pimak-20105-11
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-15155-11	/en/shop/davlumbaz/7885-15155-11	False	https://equsto.com/en/shop/davlumbaz/pimak-15155-11
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-40155-10	/en/shop/davlumbaz/7885-40155-10	False	https://equsto.com/en/shop/davlumbaz/pimak-40155-10
RECOVER_308	high	login_next_to_product	en	pisirme	391543	/en/shop/pisirme/391543	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/391543
RECOVER_308	high	login_next_to_product	en	hazirlik	058-no-54	/en/shop/hazirlik/058-no-54	True	https://equsto.com/en/login.html?next=/en/shop/hazirlik/058-no-54
RECOVER_308	high	login_next_to_product	en	dolap	7911-12070-95	/en/shop/tezgah/7911-12070-95	True	https://equsto.com/en/login.html?next=/en/shop/dolap/7911-12070-95
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-14060-15	/en/shop/tezgah/7911-14060-15	False	https://equsto.com/en/shop/tezgah/pimak-14060-15
RECOVER_308	med	login_next_to_product	en	tezgah	pimak-16070-56	/en/shop/tezgah/7911-16070-56	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/pimak-16070-56
RECOVER_308	high	login_next_to_product	en	pisirme	npicco712-3	/en/shop/pisirme/npicco712-3	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/npicco712-3
RECOVER_308	high	login_next_to_product	en	tezgah	ino-ktk090i	/en/shop/tezgah/ino-ktk090i	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/ino-ktk090i
RECOVER_308	high	login_next_to_product	en	hazirlik	118-sft-01	/en/shop/hazirlik/118-sft-01	True	https://equsto.com/en/login.html?next=/en/shop/hazirlik/118-sft-01
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	6268-00019-32	/en/shop/set-ustu-mutfak/6268-00019-32	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/6268-00019-32
RECOVER_308	high	login_next_to_product	en	icecek	sc10-ai-sspb	/en/shop/icecek/sc10-ai-sspb	True	https://equsto.com/en/login.html?next=/en/shop/icecek/sc10-ai-sspb
RECOVER_308	high	login_next_to_product	en	hazirlik	9840-cl55d-00	/en/shop/hazirlik/9840-cl55d-00	True	https://equsto.com/en/login.html?next=/en/shop/hazirlik/9840-cl55d-00
RECOVER_308	high	login_next_to_product	en	hazirlik	208-600337	/en/shop/hazirlik/208-600337	True	https://equsto.com/en/login.html?next=/en/shop/hazirlik/208-600337
RECOVER_308	high	login_next_to_product	en	pisirme	7864-n1-80903-14	/en/shop/pisirme/7864-n1-80903-14	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/7864-n1-80903-14
RECOVER_308	high	login_next_to_product	en	tezgah	ino-klg100	/en/shop/tezgah/ino-klg100	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/ino-klg100
RECOVER_308	high	login_next_to_product	en	pisirme	ino-zco-7fg10	/en/shop/pisirme/ino-zco-7fg10	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/ino-zco-7fg10
RECOVER_308	high	login_next_to_product	en	pisirme	aei-673-n	/en/shop/pisirme/aei-673-n	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/aei-673-n
RECOVER_308	high	login_next_to_product	en	market-reyonlari	eq-falcon-sld-eq41	/en/shop/market-reyonlari/eq-falcon-sld-eq41	True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-falcon-sld-eq41
RECOVER_308	high	login_next_to_product	en	sogutma	118-srdny215	/en/shop/sogutma/118-srdny215	True	https://equsto.com/en/login.html?next=/en/shop/sogutma/118-srdny215
RECOVER_308	high	login_next_to_product	en	sogutma	pza-2n80	/en/shop/sogutma/pza-2n80	True	https://equsto.com/en/login.html?next=/en/shop/sogutma/pza-2n80
RECOVER_308	high	login_next_to_product	en	pisirme	391334	/en/shop/pisirme/391334	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/391334
RECOVER_308	high	login_next_to_product	en	hazirlik	bhy-10	/en/shop/hazirlik/bhy-10	True	https://equsto.com/en/login.html?next=/en/shop/hazirlik/bhy-10
RECOVER_308	high	login_next_to_product	en	istif	53-x-122-x-183-201	/en/shop/istif/53-x-122-x-183-201	True	https://equsto.com/en/login.html?next=/en/shop/istif/53-x-122-x-183-201
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	8916-0mv20-00	/en/shop/set-ustu-mutfak/8916-0mv20-00	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/8916-0mv20-00
RECOVER_308	high	login_next_to_product	en	tezgah	133089	/en/shop/tezgah/133089	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/133089
RECOVER_308	high	login_next_to_product	en	pisirme	frn-smk-et-tutsuleme-firini	/en/shop/pisirme/frn-smk-et-tutsuleme-firini	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/frn-smk-et-tutsuleme-firini
RECOVER_308	high	login_next_to_product	en	dolap	7911-16060-84	/en/shop/tezgah/7911-16060-84	True	https://equsto.com/en/login.html?next=/en/shop/dolap/7911-16060-84
RECOVER_308	high	login_next_to_product	en	sogutma	118-pd400d	/en/shop/sogutma/118-pd400d	True	https://equsto.com/en/login.html?next=/en/shop/sogutma/118-pd400d
RECOVER_308	high	login_next_to_product	en	market-reyonlari	eq-falcon-sld-eq44	/en/shop/market-reyonlari/eq-falcon-sld-eq44	True	https://equsto.com/en/login.html?next=/en/shop/market-reyonlari/eq-falcon-sld-eq44
RECOVER_308	high	login_next_to_product	en	tezgah	ino-klg220	/en/shop/tezgah/ino-klg220	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/ino-klg220
RECOVER_308	high	login_next_to_product	en	tezgah	7911-19060-20	/en/shop/tezgah/7911-19060-20	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7911-19060-20
RECOVER_308	high	login_next_to_product	en	pisirme	7864-n1-60603-19	/en/shop/pisirme/7864-n1-60603-19	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/7864-n1-60603-19
RECOVER_308	high	login_next_to_product	en	pisirme	7865-n1-60603-14	/en/shop/pisirme/7865-n1-60603-14	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/7865-n1-60603-14
RECOVER_308	high	login_next_to_product	en	pisirme	7961-16229-7y3	/en/shop/yikama/7961-16229-7y3	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/7961-16229-7y3
RECOVER_308	high	login_next_to_product	en	tezgah	7754-166e5-21	/en/shop/tezgah/7754-166e5-21	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7754-166e5-21
RECOVER_308	high	login_next_to_product	en	pisirme	aei-490s	/en/shop/pisirme/aei-490s	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/aei-490s
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-15155-10	/en/shop/davlumbaz/7885-15155-10	False	https://equsto.com/en/shop/davlumbaz/pimak-15155-10
RECOVER_308	high	login_next_to_product	en	tezgah	7919-37ntv-t1	/en/shop/tezgah/7919-37ntv-t1	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7919-37ntv-t1
RECOVER_308	high	login_next_to_product	en	sogutma	9805-sde84-00	/en/shop/sogutma/9805-sde84-00	True	https://equsto.com/en/login.html?next=/en/shop/sogutma/9805-sde84-00
RECOVER_308	high	login_next_to_product	en	set-ustu-mutfak	7868-00030-00	/en/shop/set-ustu-mutfak/7868-00030-00	True	https://equsto.com/en/login.html?next=/en/shop/set-ustu-mutfak/7868-00030-00
RECOVER_308	high	login_next_to_product	en	pisirme	391121	/en/shop/pisirme/391121	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/391121
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-12060-12	/shop/tezgah/7911-12060-12	False	https://equsto.com/shop/tezgah/pimak-12060-12
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-12060-52	/en/shop/tezgah/7911-12060-52	False	https://equsto.com/en/shop/tezgah/pimak-12060-52
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-19070-31	/shop/tezgah/7911-19070-31	False	https://equsto.com/shop/tezgah/pimak-19070-31
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-16060-52	/shop/tezgah/7911-16060-52	False	https://equsto.com/shop/tezgah/pimak-16060-52
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-16060-31	/en/shop/tezgah/7911-16060-31	False	https://equsto.com/en/shop/tezgah/pimak-16060-31
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-19060-31	/en/shop/tezgah/7911-19060-31	False	https://equsto.com/en/shop/tezgah/pimak-19060-31
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-40155-01	/en/shop/davlumbaz/7885-40155-01	False	https://equsto.com/en/shop/davlumbaz/pimak-40155-01
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-12060-13	/shop/tezgah/7911-12060-13	False	https://equsto.com/shop/tezgah/pimak-12060-13
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	pimak-15155-01	/shop/davlumbaz/7885-15155-01	False	https://equsto.com/shop/davlumbaz/pimak-15155-01
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	pimak-35155-01	/shop/davlumbaz/7885-35155-01	False	https://equsto.com/shop/davlumbaz/pimak-35155-01
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	equsto-30155-01	/shop/davlumbaz/7885-30155-01	False	https://equsto.com/shop/davlumbaz/equsto-30155-01
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-50155-01	/en/shop/davlumbaz/7885-50155-01	False	https://equsto.com/en/shop/davlumbaz/pimak-50155-01
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	equsto-55155-11	/en/shop/davlumbaz/7885-55155-11	False	https://equsto.com/en/shop/davlumbaz/equsto-55155-11
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-19708-23	/shop/tezgah/7868-19708-23	False	https://equsto.com/shop/tezgah/pimak-19708-23
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	equsto-55205-10	/shop/davlumbaz/7885-55205-10	False	https://equsto.com/shop/davlumbaz/equsto-55205-10
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-55255-10	/en/shop/davlumbaz/7885-55255-10	False	https://equsto.com/en/shop/davlumbaz/pimak-55255-10
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-30155-11	/en/shop/davlumbaz/7885-30155-11	False	https://equsto.com/en/shop/davlumbaz/pimak-30155-11
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	equsto-14070-15	/shop/tezgah/7911-14070-15	False	https://equsto.com/shop/tezgah/equsto-14070-15
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-14060-56	/shop/tezgah/7911-14060-56	False	https://equsto.com/shop/tezgah/pimak-14060-56
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	pimak-14070-31	/shop/tezgah/7911-14070-31	False	https://equsto.com/shop/tezgah/pimak-14070-31
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	equsto-19060-52	/shop/tezgah/7911-19060-52	False	https://equsto.com/shop/tezgah/equsto-19060-52
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-40255-10	/en/shop/davlumbaz/7885-40255-10	False	https://equsto.com/en/shop/davlumbaz/pimak-40255-10
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-55155-10	/en/shop/davlumbaz/7885-55155-10	False	https://equsto.com/en/shop/davlumbaz/pimak-55155-10
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	equsto-05050-91	/shop/tezgah/7911-05050-91	False	https://equsto.com/shop/tezgah/equsto-05050-91
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-16070-52	/en/shop/tezgah/7911-16070-52	False	https://equsto.com/en/shop/tezgah/pimak-16070-52
RECOVER_308	med	remap:wrong_brand_unique	tr	davlumbaz	pimak-55155-11	/shop/davlumbaz/7885-55155-11	False	https://equsto.com/shop/davlumbaz/pimak-55155-11
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-09060-08	/en/shop/tezgah/7911-09060-08	False	https://equsto.com/en/shop/tezgah/pimak-09060-08
RECOVER_308	med	remap:wrong_brand_unique	tr	tezgah	equsto-16060-52	/shop/tezgah/7911-16060-52	False	https://equsto.com/shop/tezgah/equsto-16060-52
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-12070-13	/en/shop/tezgah/7911-12070-13	False	https://equsto.com/en/shop/tezgah/pimak-12070-13
RECOVER_308	high	login_next_to_product	en	araba	mt140x	/en/shop/araba/mt140x	True	https://equsto.com/en/login.html?next=/en/shop/araba/mt140x
RECOVER_308	high	login_next_to_product	en	tezgah	eq-kptt03-12070	/en/shop/tezgah/eq-kptt03-12070	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/eq-kptt03-12070
RECOVER_308	high	login_next_to_product	en	sogutma	118-sds-265-dc-1-cf-p	/en/shop/sogutma/118-sds-265-dc-1-cf-p	True	https://equsto.com/en/login.html?next=/en/shop/sogutma/118-sds-265-dc-1-cf-p
RECOVER_308	high	login_next_to_product	en	pisirme	ino-9tn10	/en/shop/pisirme/ino-9tn10	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/ino-9tn10
RECOVER_308	high	login_next_to_product	en	tezgah	7919-06lmv-13	/en/shop/tezgah/7919-06lmv-13	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7919-06lmv-13
RECOVER_308	high	login_next_to_product	en	pisirme	npicco58-1	/en/shop/pisirme/npicco58-1	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/npicco58-1
RECOVER_308	high	login_next_to_product	en	pisirme	7865-n1-40703-33ls	/en/shop/pisirme/7865-n1-40703-33ls	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/7865-n1-40703-33ls
RECOVER_308	med	remap:wrong_brand_unique	en	tezgah	pimak-10070-00	/en/shop/tezgah/7911-10070-00	False	https://equsto.com/en/shop/tezgah/pimak-10070-00
RECOVER_308	high	login_next_to_product	en	tezgah	7911-16060-00	/en/shop/tezgah/7911-16060-00	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/7911-16060-00
RECOVER_308	high	login_next_to_product	en	tezgah	eq-kktyb-12070	/en/shop/tezgah/eq-kktyb-12070	True	https://equsto.com/en/login.html?next=/en/shop/tezgah/eq-kktyb-12070
RECOVER_308	high	login_next_to_product	en	dolap	7911-06070-82	/en/shop/tezgah/7911-06070-82	True	https://equsto.com/en/login.html?next=/en/shop/dolap/7911-06070-82
RECOVER_308	high	login_next_to_product	en	pisirme	7961-04929-1o1	/en/shop/yikama/7961-04929-1o1	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/7961-04929-1o1
RECOVER_308	high	login_next_to_product	en	tasima	8360-00007-08	/en/shop/tasima/8360-00007-08	True	https://equsto.com/en/login.html?next=/en/shop/tasima/8360-00007-08
RECOVER_308	high	login_next_to_product	en	pisirme	7865-n1-80903-20	/en/shop/pisirme/7865-n1-80903-20	True	https://equsto.com/en/login.html?next=/en/shop/pisirme/7865-n1-80903-20
RECOVER_308	med	remap:wrong_brand_unique	en	davlumbaz	pimak-45155-10	/en/shop/davlumbaz/7885-45155-10	False	https://equsto.com/en/shop/davlumbaz/pimak-45155-10
RECOVER_308	high	login_next_to_product	en	kahve	9580-oscar-10	/en/shop/kahve/9580-oscar-10	True	https://equsto.com/en/login.html?next=/en/shop/kahve/9580-oscar-10
